code,name,latitude,longitude,use,closed
SCNT,Teniente  Julio Gallardo,-51.670833,-72.528611,PUB,0
SCNY,Yendegaia,-54.830853,-68.834708,PVT,0
SCOA,Estancia Los Loros,-30.796111,-71.620556,PVT,0
SCOC,Las Araucarias,-40.993056,-72.659722,PVT,0
SCOH,Villa O'Higgins,-48.468333,-72.564167,PUB,0
SCOM,Olmue,-32.997500,-71.172222,PVT,0
SCON,Quellón,-43.135278,-73.634444,PUB,0
SCOO,Melimoyu,-44.097500,-73.096901,PUB,0
SCOP,Pilauco,-40.553056,-73.128333,PVT,0
SCOR,Algorta,-23.118333,-69.877778,,0
SCOS,Entre Ríos,-33.718333,-70.995833,PVT,0
SCOT,Santa Rosa de Tabalí,-30.676111,-71.399722,PVT,0
SCOV,El Tuqui,-30.559444,-71.176111,PUB,0
SCPA,Paranal,-24.639444,-70.348889,PVT,0
SCPB,Puelo Bajo,-41.658611,-72.300278,PUB,0
SCPC,Pucón,-39.291389,-71.920833,PUB,0
SCPD,Peldehue,-33.117389,-70.683842,,0
SCPE,San Pedro de Atacama,-22.918889,-68.162778,PUB,0
SCPF,Marcel Marchant B.,-41.454444,-72.917667,PUB,0
SCPG,Municipal de Panguipulli,-39.655278,-72.358333,PUB,0
SCPH,Puyuhuapi,-44.383333,-72.593611,PUB,0
SCPI,Pullami,-36.586700,-71.807800,PVT,0
SCPK,Puerto Cisnes,-44.758611,-72.698056,PUB,0
SCPL,Calpulli,-40.128889,-72.661667,PVT,0
SCPM,Pichilemu,-34.395833,-72.019722,PUB,0
SCPN,Pillán,-42.546831,-72.494836,PVT,0
SCPO,Los Paltos,-34.328056,-70.964167,PVT,0
SCPQ,Mocopulli,-42.340278,-73.715833,PUB,0
SCPR,Corte Alto,-40.941667,-73.168889,PUB,0
SCPT,La Puerta,-34.613056,-71.375833,PVT,0
SCPU,Peulla,-41.056944,-72.013333,PUB,0
SCPV,El Mirador,-41.349444,-72.946667,PUB,0
SCPW,Peumo,-34.408889,-71.168889,PVT,0
SCPY,Cerro Castillo,-51.262199,-72.337502,PVT,0
SCPZ,Patriot Hills,-80.318333,-81.308056,MIL,0
SCQC,La Colmena,-38.333889,-72.586944,PVT,0
SCQE,Quenac,-42.467201,-73.335800,PUB,0
SCQK,Lequecahue,-38.362500,-73.490000,PUB,0
SCQL,El Boco,-32.851111,-71.246389,PUB,0
SCQO,Quitralco,-45.580556,-73.225556,PVT,0
SCQP,La Araucania,-38.925833,-72.651389,PUB,0
SCQR,Los Morros,-36.134399,-72.804398,PUB,0
SCQT,Las Tacas,-30.096944,-71.362500,PVT,0
SCQU,Inio,-43.351667,-74.115833,PVT,0
SCQW,Quemchi,-42.152778,-73.516944,PUB,0
SCQX,Queilén,-42.893889,-73.473889,PUB,0
SCQY,Villa Portales,-38.448611,-71.357500,PUB,0
SCRA,Chañaral,-26.332500,-70.607222,PUB,0
SCRB,Río Bravo,-47.990278,-73.142500,PUB,0
SCRC,Villa Tapera,-44.640278,-71.664722,PUB,0
SCRD,Rodelillo,-33.068333,-71.557500,PUB,0
SCRE,Estancia Rio Cisnes,-44.500000,-71.321667,PUB,0
SCRF,Laguna San Rafael,-46.639444,-73.861667,PUB,0
SCRG,La Independencia,-34.174886,-70.775694,PUB,0
SCRH,Reñihue,-42.585556,-72.494444,PVT,0
SCRI,Río Frio,-41.739722,-71.911667,PUB,0
